% RZ Dra (Kreiner+ 1994) (ReadMe)
% Differential B photometry of RZ Dra
%
%     HJD      dVmag
%      d       mag
 2448120.4500 -0.272
 2448120.4503 -0.257
 2448120.4533 -0.284
 2448120.4537 -0.269
 2448120.4540 -0.277
 2448120.4544 -0.252
 2448120.4547 -0.258
 2448120.4595 -0.268
 2448120.4598 -0.277
 2448120.4601 -0.271
 2448120.4605 -0.266
 2448120.4608 -0.263
 2448120.4636 -0.235
 2448120.4639 -0.244
 2448120.4643 -0.257
 2448120.4646 -0.271
 2448120.4695 -0.248
 2448120.4698 -0.269
 2448120.4702 -0.265
 2448120.4705 -0.294
 2448120.4709 -0.313
 2448120.4741 -0.316
 2448120.4744 -0.307
 2448120.4748 -0.299
 2448120.4751 -0.306
 2448120.4754 -0.285
 2448120.4794 -0.296
 2448120.4797 -0.293
 2448120.4801 -0.298
 2448120.4804 -0.293
 2448120.4808 -0.291
 2448120.4832 -0.315
 2448120.4835 -0.306
 2448120.4839 -0.321
 2448120.4842 -0.303
 2448120.4846 -0.329
 2448120.4919 -0.333
 2448120.4922 -0.357
 2448120.4926 -0.347
 2448120.4929 -0.331
 2448120.4933 -0.361
 2448120.4936 -0.342
 2448120.4940 -0.352
 2448120.4943 -0.364
 2448120.4946 -0.370
 2448120.4950 -0.379
 2448120.5003 -0.377
 2448120.5007 -0.378
 2448120.5010 -0.391
 2448120.5014 -0.360
 2448120.5017 -0.389
 2448120.5021 -0.392
 2448120.5024 -0.392
 2448120.5028 -0.392
 2448120.5031 -0.412
 2448120.5034 -0.396
 2448120.5089 -0.379
 2448120.5092 -0.406
 2448120.5096 -0.409
 2448120.5099 -0.401
 2448120.5103 -0.413
 2448120.5106 -0.422
 2448120.5110 -0.425
 2448120.5113 -0.411
 2448120.5117 -0.422
 2448120.5120 -0.401
 2448120.5304 -0.447
 2448120.5307 -0.445
 2448120.5311 -0.443
 2448120.5314 -0.459
 2448120.5318 -0.444
 2448120.5321 -0.466
 2448120.5325 -0.448
 2448120.5328 -0.452
 2448120.5332 -0.445
 2448120.5335 -0.471
 2448120.5405 -0.470
 2448120.5408 -0.458
 2448120.5412 -0.478
 2448120.5415 -0.459
 2448120.5418 -0.464
 2448120.5422 -0.460
 2448120.5425 -0.472
 2448120.5429 -0.455
 2448120.5432 -0.452
 2448120.5436 -0.463
 2448120.5494 -0.474
 2448120.5497 -0.476
 2448120.5501 -0.471
 2448120.5504 -0.468
 2448120.5508 -0.498
 2448120.5511 -0.468
 2448120.5515 -0.471
 2448120.5518 -0.473
 2448120.5522 -0.472
 2448120.5525 -0.470
 2448120.5583 -0.473
 2448120.5586 -0.490
 2448120.5590 -0.492
 2448120.5593 -0.488
 2448120.5597 -0.486
 2448120.5600 -0.502
 2448120.5604 -0.493
 2448120.5607 -0.485
 2448120.5684 -0.531
 2448120.5687 -0.506
 2448120.5691 -0.515
 2448120.5694 -0.507
 2448120.5698 -0.509
 2448120.5701 -0.512
 2448120.5704 -0.511
 2448120.5708 -0.530
 2448120.5711 -0.532
 2448120.5715 -0.519
 2448120.5762 -0.533
 2448120.5765 -0.529
 2448120.5769 -0.519
 2448120.5772 -0.518
 2448120.5776 -0.525
 2448120.5779 -0.526
 2448120.5783 -0.515
 2448120.5786 -0.542
 2448124.4993 -0.456
 2448124.4996 -0.473
 2448124.5000 -0.465
 2448124.5003 -0.463
 2448124.5006 -0.422
 2448124.5010 -0.442
 2448124.5013 -0.453
 2448124.5017 -0.455
 2448124.5020 -0.453
 2448124.5024 -0.458
 2448128.5663 -0.529
 2448128.5667 -0.519
 2448128.5670 -0.524
 2448128.5673 -0.524
 2448128.5677 -0.520
 2448128.5680 -0.519
 2448128.5684 -0.517
 2448128.5687 -0.526
