158, 106.1, 1273.2, 2.56, -2.24
84, 64.2, 1259.6, 2.24, -2.8
83, 43.6, 1246.2, 1.92, -3.36
82, 25.1, 1232.7, 1.6, -3.92
351, 293.6, 1377.1, 4.48, 0
304, 249.3, 1363.3, 4.16, -0.56
260, 204.9, 1349.8, 3.84, -1.12
212, 161.9, 1336.2, 3.52, -1.68
170, 117.6, 1322.5, 3.2, -2.24
128, 75.7, 1309.0, 2.88, -2.8
87, 50.0, 1295.3, 2.56, -3.36
85, 12.5, 1268.6, 2.24, -3.92
364, 306.8, 1426.3, 5.12, 0
319, 262.0, 1412.8, 4.8, -0.56
272, 219.5, 1399.2, 4.48, -1.12
228, 174.5, 1385.5, 4.16, -1.68
185, 130.5, 1371.9, 3.84, -2.24
142, 88.9, 1358.3, 3.52, -2.8
90, 53.7, 1344.8, 3.2, -3.36
88, 17.3, 1318.1, 2.88, -3.92
377, 321.3, 1475.9, 5.76, 0
331, 277.3, 1462.2, 5.44, -0.56
286, 232.1, 1448.5, 5.12, -1.12
241, 189.1, 1435.1, 4.8, -1.68
198, 144.7, 1421.3, 4.48, -2.24
157, 100.7, 1407.7, 4.16, -2.8
93, 62.6, 1394.2, 3.84, -3.36
92, 40.0, 1380.8, 3.52, -3.92
91, 21.9, 1367.6, 3.2, -4.48
390, 336.5, 1525.3, 6.4, 0
345, 290.2, 1511.6, 6.08, -0.56
300, 247.0, 1498.1, 5.76, -1.12
254, 202.2, 1484.3, 5.44, -1.68
210, 157.8, 1470.8, 5.12, -2.24
167, 115.2, 1457.2, 4.8, -2.8
125, 71.3, 1443.7, 4.48, -3.36
96, 47.9, 1430.3, 4.16, -3.92
94, 9.1, 1403.6, 3.84, -4.48
407, 350.3, 1574.9, 7.04, 0
363, 305.7, 1561.2, 6.72, -0.56
317, 260.4, 1547.5, 6.4, -1.12
270, 217.1, 1534.1, 6.08, -1.68
225, 172.4, 1520.3, 5.76, -2.24
180, 128.3, 1506.8, 5.44, -2.8
139, 86.3, 1493.2, 5.12, -3.36
99, 51.9, 1479.8, 4.8, -3.92
97, 15.2, 1453.2, 4.48, -4.48
423, 365.8, 1624.3, 7.68, 0
375, 320.1, 1610.8, 7.36, -0.56
332, 276.5, 1597.2, 7.04, -1.12
284, 230.5, 1583.5, 6.72, -1.68
240, 187.6, 1570.1, 6.4, -2.24
197, 143.1, 1556.3, 6.08, -2.8
153, 99.3, 1542.9, 5.76, -3.36
102, 60.8, 1529.3, 5.44, -3.92
101, 36.7, 1516.1, 5.12, -4.48
100, 21.5, 1502.8, 4.8, -5.04
439, 382.3, 1674.1, 8.32, 0
393, 336.1, 1660.3, 8.0, -0.56
348, 290.2, 1646.8, 7.68, -1.12
301, 246.3, 1633.2, 7.36, -1.68
255, 200.8, 1619.6, 7.04, -2.24
208, 158.1, 1606.1, 6.72, -2.8
166, 113.6, 1592.5, 6.4, -3.36
123, 71.5, 1579.1, 6.08, -3.92
105, 45.1, 1565.7, 5.76, -4.48
103, 7.9, 1539.5, 5.44, -5.04
455, 396.9, 1723.8, 8.96, 0
410, 352.1, 1710.2, 8.64, -0.56
365, 306.3, 1696.3, 8.32, -1.12
320, 262.2, 1683.0, 8.0, -1.68
271, 217.0, 1669.3, 7.68, -2.24
226, 171.8, 1655.8, 7.36, -2.8
181, 129.3, 1642.2, 7.04, -3.36
137, 84.5, 1628.8, 6.72, -3.92
108, 52.8, 1615.5, 6.4, -4.48
106, 14.7, 1589.1, 6.08, -5.04
474, 412.7, 1773.5, 9.6, 0
426, 368.0, 1760.0, 9.28, -0.56
379, 322.5, 1746.2, 8.96, -1.12
333, 276.1, 1732.7, 8.64, -1.68
288, 232.8, 1719.2, 8.32, -2.24
242, 187.3, 1705.6, 8.0, -2.8
199, 144.4, 1692.1, 7.68, -3.36
154, 99.5, 1678.6, 7.36, -3.92
111, 61.3, 1665.2, 7.04, -4.48
110, 39.3, 1652.1, 6.72, -5.04
109, 20.5, 1638.8, 6.4, -5.6
489, 429.7, 1823.3, 10.24, 0
444, 384.5, 1810.0, 9.92, -0.56
