%-----------------------------------------------------------------------
% vega_spec function                                          AstroSpec
% Description: Get Vega spectrum from Kurucz (1993) models.
%              Teff = 9550,  log g = 3.95, log z = -0.5e0.
%              V-band magnityde = +0.034 mag (measured from spectrum,
%              assuming 3670 Jy for V=0).
%              Multiplied by 1.006 so that the normalization coincides
%              with Fukugita.
% Output : - Vega spectrum [Wavelength(A), Flux(erg/cm^2/s)]
% Tested : Matlab 7.0
%     By : Eran O. Ofek                   March 2005
%    URL : http://wise-obs.tau.ac.il/~eran/matlab.html
% Example: Spec=vega_spec;
%-----------------------------------------------------------------------


2910. 3.81055e-09
2930. 3.682e-09
2950. 3.66343e-09
2970. 3.6651e-09
2990. 3.67642e-09
3010. 3.7163e-09
3030. 3.67819e-09
3050. 3.65168e-09
3070. 3.60976e-09
3090. 3.63314e-09
3110. 3.56558e-09
3130. 3.54882e-09
3150. 3.55552e-09
3170. 3.52559e-09
3190. 3.4196e-09
3210. 3.46965e-09
3230. 3.41212e-09
3250. 3.42321e-09
3270. 3.43289e-09
3290. 3.43314e-09
3310. 3.43012e-09
3330. 3.3784e-09
3350. 3.3304e-09
3370. 3.32694e-09
3390. 3.2876e-09
3410. 3.31613e-09
3430. 3.29422e-09
3450. 3.27458e-09
3470. 3.23772e-09
3490. 3.22223e-09
3510. 3.23044e-09
3530. 3.22273e-09
3550. 3.2088e-09
3570. 3.16573e-09
3590. 3.14813e-09
3610. 3.12856e-09
3630. 3.11585e-09
3640. 3.10392e-09
3650. 3.14522e-09
3670. 3.02991e-09
3690. 2.78429e-09
3710. 3.11839e-09
3730. 3.26468e-09
3750. 4.14616e-09
3770. 4.35154e-09
3790. 5.44669e-09
3810. 6.46438e-09
3830. 5.04423e-09
3850. 7.1866e-09
3870. 8.21656e-09
3890. 4.32084e-09
3910. 8.16046e-09
3930. 8.11123e-09
3950. 8.08482e-09
3970. 4.10563e-09
3990. 7.69537e-09
4010. 8.63346e-09
4030. 8.61846e-09
4050. 8.50204e-09
4070. 8.05621e-09
4090. 6.07206e-09
4110. 4.56017e-09
4130. 7.57283e-09
4150. 7.93443e-09
4170. 7.88212e-09
4190. 7.78917e-09
4210. 7.69098e-09
4230. 7.5435e-09
4250. 7.45568e-09
4270. 7.29889e-09
4290. 7.20598e-09
4310. 6.76572e-09
4330. 4.91244e-09
4350. 4.15143e-09
4370. 6.51633e-09
4390. 6.685e-09
4410. 6.67268e-09
4430. 6.62844e-09
4450. 6.59271e-09
4470. 6.50361e-09
4490. 6.35858e-09
4510. 6.32552e-09
4530. 6.24023e-09
4550. 6.10603e-09
4570. 6.10355e-09
4590. 6.00365e-09
4610. 5.98366e-09
4630. 5.86249e-09
4650. 5.83171e-09
4670. 5.7546e-09
4690. 5.64703e-09
4710. 5.49109e-09
4730. 5.53589e-09
4750. 5.46458e-09
4770. 5.38794e-09
4790. 5.30375e-09
4810. 5.18057e-09
4830. 4.91731e-09
4850. 3.72408e-09
4870. 2.99636e-09
4890. 4.61804e-09
4910. 4.85735e-09
4930. 4.82861e-09
4950. 4.81905e-09
4970. 4.78473e-09
4990. 4.72314e-09
5010. 4.63266e-09
5030. 4.61362e-09
5050. 4.53948e-09
5070. 4.51567e-09
5090. 4.46386e-09
5110. 4.411e-09
5130. 4.35864e-09
5150. 4.30163e-09
5170. 4.20917e-09
5190. 4.16969e-09
5210. 4.15704e-09
5230. 4.08795e-09
5250. 4.0697e-09
5270. 3.98822e-09
5290. 3.97786e-09
5310. 3.91547e-09
5330. 3.87435e-09
5350. 3.84898e-09
5370. 3.79835e-09
5390. 3.75989e-09
5410. 3.71029e-09
5430. 3.67485e-09
5450. 3.64006e-09
5470. 3.60047e-09
5490. 3.56278e-09
5510. 3.52475e-09
5530. 3.4824e-09
5550. 3.44984e-09
5570. 3.41043e-09
5590. 3.37595e-09
5610. 3.34142e-09
5630. 3.30603e-09
5650. 3.26988e-09
5670. 3.23444e-09
5690. 3.20183e-09
5710. 3.16822e-09
5730. 3.1363e-09
5750. 3.10195e-09
5770. 3.07028e-09
5790. 3.03742e-09
5810. 3.00647e-09
5830. 2.97567e-09
5850. 2.94508e-09
5870. 2.91108e-09
5890. 2.8695e-09
5910. 2.85478e-09
5930. 2.82609e-09
5950. 2.79526e-09
5970. 2.76808e-09
5990. 2.73733e-09
6010. 2.71117e-09
6030. 2.68529e-09
6050. 2.65809e-09
6070. 2.63228e-09
6090. 2.60579e-09
6110. 2.57965e-09
6130. 2.55305e-09
6150. 2.51488e-09
6170. 2.50257e-09
6190. 2.47965e-09
6210. 2.45526e-09
6230. 2.43052e-09
6250. 2.39837e-09
6270. 2.38448e-09
6290. 2.36134e-09
6310. 2.33644e-09
6330. 2.31522e-09
6350. 2.27736e-09
6370. 2.2607e-09
6390. 2.24836e-09
6410. 2.22476e-09
6430. 2.20387e-09
6450. 2.17331e-09
6470. 2.15578e-09
6490. 2.12638e-09
6510. 2.09122e-09
6530. 2.0165e-09
6550. 1.72562e-09
6561.2476 1.39095e-09
6590. 1.89348e-09
6610. 1.98251e-09
6630. 1.98925e-09
6650. 1.9795e-09
6670. 1.96472e-09
6690. 1.95062e-09
6710. 1.9345e-09
6730. 1.91562e-09
6750. 1.89906e-09
6770. 1.8826e-09
6790. 1.86533e-09
6810. 1.84839e-09
6830. 1.83115e-09
6850. 1.81479e-09
6870. 1.79874e-09
6890. 1.78269e-09
6910. 1.76665e-09
6930. 1.75062e-09
6950. 1.73504e-09
6970. 1.71951e-09
6990. 1.70466e-09
7010. 1.6877e-09
7030. 1.67395e-09
7050. 1.65929e-09
7070. 1.64505e-09
7090. 1.63095e-09
7110. 1.61044e-09
7130. 1.60133e-09
7150. 1.58749e-09
7170. 1.57424e-09
7190. 1.56052e-09
7210. 1.54719e-09
7230. 1.53336e-09
7250. 1.5198e-09
7270. 1.50765e-09
7290. 1.49424e-09
7310. 1.4813e-09
7330. 1.46919e-09
7350. 1.45692e-09
7370. 1.44464e-09
7390. 1.43207e-09
7410. 1.41692e-09
7430. 1.40596e-09
